name,id,base64,undergraduate_enrollment,location,total_professors,total_reviews,file_location,start_date,end_date
University of Illinois--Chicago,School-1111,U2Nob29zLTExMTE=,22107.0,"Chicago, IL",3539.0,43388.0,T100Reviews/Universities/University_of_Illinois--Chicago,2002-07-23 10:51:31,2025-01-31 17:47:48
New Jersey Institute of Technology,School-668,U2Nob29zLTY2OA==,4026.0,"Newark, NJ",1796.0,25397.0,T100Reviews/Universities/New_Jersey_Institute_of_Technology,2001-10-29 01:17:39,2025-01-31 20:26:37
"University of California, Santa Cruz",School-1078,U2Nob29zLTEwNzg=,19651.0,"Santa Cruz, CA",2330.0,40585.0,"T100Reviews/Universities/University_of_California,_Santa_Cruz",2000-01-20 03:24:34,2025-01-31 23:51:51
Drexel University,School-1521,U2Nob29zLTE1MjE=,12099.0,"Philadelphia, PA",2243.0,16407.0,T100Reviews/Universities/Drexel_University,2001-05-16 22:58:07,2025-01-30 21:32:30
Howard University,School-421,U2Nob29zLTQyMQ==,10190.0,"Washington, DC",1688.0,16303.0,T100Reviews/Universities/Howard_University,1999-12-29 11:54:05,2025-01-31 00:57:01
Marquette University,School-565,U2Nob29zLTU2NQ==,7652.0,"Milwaukee, WI",1980.0,19952.0,T100Reviews/Universities/Marquette_University,2001-07-25 12:21:49,2025-01-31 18:59:35
University of Delaware,School-1094,U2Nob29zLTEwOTQ=,19119.0,"Newark, DE",3711.0,71728.0,T100Reviews/Universities/University_of_Delaware,1999-09-28 00:00:00,2025-02-01 01:58:34
Worcester Polytechnic Institute,School-1220,U2Nob29zLTEyMjA=,5453.0,"Worcester, MA",838.0,10521.0,T100Reviews/Universities/Worcester_Polytechnic_Institute,2001-12-14 02:05:23,2025-01-31 22:50:27
American University,School-32,U2Nob29zLTMy,7817.0,"Washington, DC",2782.0,31479.0,T100Reviews/Universities/American_University,2001-05-09 19:06:05,2025-01-31 21:36:19
Baylor University,School-90,U2Nob29zLTkw,15155.0,"Waco, TX",1025.0,4173.0,T100Reviews/Universities/Baylor_University,2001-08-04 17:53:52,2025-01-22 20:19:40
Fordham University,School-1325,U2Nob29zLTEzMjU=,10307.0,"New York, NY",2390.0,32006.0,T100Reviews/Universities/Fordham_University,2001-12-03 16:34:05,2025-02-01 01:30:31
Loyola Marymount University,School-538,U2Nob29zLTUzOA==,7336.0,"Los Angeles, CA",2009.0,27620.0,T100Reviews/Universities/Loyola_Marymount_University,2002-10-18 00:46:02,2025-01-31 19:00:26
Rochester Institute of Technology,School-807,U2Nob29zLTgwNw==,14076.0,"Rochester, NY",2612.0,29193.0,T100Reviews/Universities/Rochester_Institute_of_Technology,2001-07-14 23:21:58,2025-02-01 01:21:42
Southern Methodist University,School-927,U2Nob29zLTkyNw==,7115.0,"Dallas, TX",1830.0,23126.0,T100Reviews/Universities/Southern_Methodist_University,2002-03-25 21:05:47,2025-02-01 02:53:40
University of South Florida,School-1262,U2Nob29zLTEyNjI=,37263.0,"Tampa, FL",6042.0,79716.0,T100Reviews/Universities/University_of_South_Florida,2002-03-28 09:33:38,2025-02-01 02:40:03
Florida International University,School-18445,U2Nob29zLTE4NDQ1,44045.0,"Miami, FL",439.0,1319.0,T100Reviews/Universities/Florida_International_University,2022-02-02 00:14:22,2025-01-29 21:57:45
Gonzaga University,School-370,U2Nob29zLTM3MA==,5163.0,"Spokane, WA",1257.0,18578.0,T100Reviews/Universities/Gonzaga_University,2001-09-12 00:19:58,2025-01-31 03:56:32
Rutgers University--Camden,School-19100,U2Nob29zLTE5MTAw,3922.0,"Camden, NJ",48.0,66.0,T100Reviews/Universities/Rutgers_University--Camden,2023-11-03 20:54:09,2025-01-30 00:23:37
Temple University,School-999,U2Nob29zLTk5OQ==,21720.0,"Philadelphia, PA",6286.0,73471.0,T100Reviews/Universities/Temple_University,2001-05-02 11:01:40,2025-02-01 02:03:47
University of Colorado Boulder,School-1087,U2Nob29zLTEwODc=,32100.0,"Boulder, CO",4098.0,31473.0,T100Reviews/Universities/University_of_Colorado_Boulder,2001-07-23 15:44:59,2025-01-31 21:44:17
University of Iowa,School-1115,U2Nob29zLTExMTU=,22130.0,"Iowa City, IA",3490.0,32252.0,T100Reviews/Universities/University_of_Iowa,2001-05-16 22:33:34,2025-02-01 04:23:51
Yeshiva University,School-1223,U2Nob29zLTEyMjM=,2319.0,"New York, NY",511.0,3446.0,T100Reviews/Universities/Yeshiva_University,2001-05-15 10:33:04,2025-01-27 19:13:55
